iteration,case_id,case_number,similarity_group,split
2,case_60,60,group_013,train
2,case_61,61,group_047,train
2,case_62,62,group_048,train
2,case_63,63,group_049,validation
2,case_64,64,group_050,train
2,case_65,65,group_051,final_test
2,case_66,66,group_052,train
2,case_67,67,group_040,train
2,case_68,68,group_053,internal_test
2,case_69,69,group_054,validation
2,case_70,70,group_055,final_test
2,case_71,71,group_056,train
2,case_72,72,group_057,train
2,case_73,73,group_058,train
2,case_74,74,group_059,train
2,case_75,75,group_060,train
2,case_76,76,group_061,final_test
2,case_77,77,group_062,train
2,case_78,78,group_063,train
2,case_79,79,group_064,train
2,case_80,80,group_065,final_test
2,case_81,81,group_066,validation
2,case_82,82,group_020,train
2,case_83,83,group_067,train
2,case_84,84,group_008,internal_test
2,case_85,85,group_068,train
2,case_86,86,group_069,train
2,case_87,87,group_070,train
2,case_88,88,group_042,final_test
2,case_89,89,group_071,train
2,case_90,90,group_072,final_test
2,case_91,91,group_007,train
2,case_92,92,group_073,train
2,case_93,93,group_074,train
2,case_94,94,group_075,internal_test
2,case_95,95,group_076,train
2,case_96,96,group_077,train
2,case_97,97,group_068,train
2,case_98,98,group_078,train
2,case_99,99,group_079,train
2,case_100,100,group_008,internal_test
2,case_101,101,group_067,train
2,case_102,102,group_080,train
2,case_103,103,group_081,final_test
2,case_104,104,group_082,train
2,case_105,105,group_083,validation
2,case_106,106,group_084,train
2,case_107,107,group_047,train
2,case_108,108,group_085,final_test
2,case_109,109,group_034,train
2,case_110,110,group_086,train
2,case_111,111,group_087,train
2,case_112,112,group_088,final_test
2,case_113,113,group_089,final_test
2,case_114,114,group_090,internal_test
2,case_115,115,group_006,train
2,case_116,116,group_011,train
2,case_117,117,group_091,train
2,case_118,118,group_092,train
2,case_119,119,group_093,train
2,case_120,120,group_067,train
2,case_121,121,group_093,train
2,case_122,122,group_094,train
2,case_123,123,group_095,final_test
2,case_124,124,group_096,internal_test
2,case_125,125,group_097,train
2,case_126,126,group_098,final_test
2,case_127,127,group_093,train
2,case_128,128,group_094,train
2,case_129,129,group_099,train
2,case_130,130,group_097,train
2,case_131,131,group_095,final_test
2,case_132,132,group_100,final_test
2,case_133,133,group_101,validation
2,case_134,134,group_102,final_test
2,case_135,135,group_103,final_test
2,case_136,136,group_104,train
2,case_137,137,group_094,train
2,case_138,138,group_105,final_test
2,case_139,139,group_106,train
2,case_140,140,group_107,final_test
2,case_141,141,group_108,train
2,case_142,142,group_109,train
2,case_143,143,group_110,validation
2,case_144,144,group_111,train
2,case_145,145,group_112,train
2,case_146,146,group_093,train
2,case_147,147,group_113,train
2,case_148,148,group_114,train
2,case_149,149,group_115,final_test
2,case_150,150,group_116,train
2,case_151,151,group_117,validation
2,case_152,152,group_118,final_test
2,case_153,153,group_119,train
2,case_154,154,group_120,train
2,case_155,155,group_121,train
2,case_156,156,group_096,internal_test
2,case_157,157,group_122,validation
2,case_158,158,group_123,train
2,case_159,159,group_124,train
2,case_160,160,group_125,final_test
2,case_161,161,group_126,final_test
2,case_162,162,group_127,final_test
2,case_163,163,group_128,train
2,case_164,164,group_129,internal_test
2,case_165,165,group_130,validation
2,case_166,166,group_131,train
2,case_167,167,group_132,final_test
2,case_168,168,group_133,final_test
2,case_169,169,group_119,train
2,case_170,170,group_134,train
2,case_171,171,group_135,validation
2,case_172,172,group_136,final_test
2,case_173,173,group_137,train
2,case_174,174,group_138,final_test
2,case_175,175,group_093,train
2,case_176,176,group_139,internal_test
2,case_177,177,group_140,final_test
2,case_178,178,group_141,final_test
2,case_179,179,group_142,train
2,case_180,180,group_143,validation
2,case_181,181,group_144,train
2,case_182,182,group_145,train
2,case_183,183,group_146,train
2,case_184,184,group_147,train
2,case_185,185,group_148,train
2,case_186,186,group_149,train
2,case_187,187,group_147,train
2,case_188,188,group_093,train
2,case_189,189,group_101,validation
2,case_190,190,group_096,internal_test
2,case_191,191,group_106,train
2,case_192,192,group_106,train
2,case_193,193,group_150,train
2,case_194,194,group_151,validation
2,case_195,195,group_152,train
2,case_196,196,group_113,train
2,case_197,197,group_153,train
2,case_198,198,group_107,final_test
2,case_199,199,group_154,train
2,case_200,200,group_155,train
3,case_00,0,group_000,final_test
3,case_01,1,group_001,train
3,case_02,2,group_002,final_test
3,case_03,3,group_003,final_test
3,case_04,4,group_004,final_test
3,case_05,5,group_004,final_test
3,case_06,6,group_005,train
3,case_07,7,group_003,final_test
3,case_08,8,group_003,final_test
3,case_09,9,group_003,final_test
3,case_10,10,group_006,train
3,case_11,11,group_007,train
3,case_12,12,group_008,train
3,case_13,13,group_009,train
3,case_14,14,group_009,train
3,case_15,15,group_010,validation
3,case_16,16,group_011,internal_test
3,case_17,17,group_012,train
3,case_18,18,group_013,train
3,case_19,19,group_006,train
3,case_20,20,group_008,train
3,case_21,21,group_014,train
3,case_22,22,group_015,final_test
3,case_23,23,group_016,final_test
3,case_24,24,group_017,validation
3,case_26,26,group_018,final_test
3,case_27,27,group_019,train
3,case_28,28,group_020,train
3,case_29,29,group_021,train
3,case_31,31,group_022,final_test
3,case_32,32,group_023,train
3,case_33,33,group_024,final_test
3,case_34,34,group_025,train
3,case_35,35,group_026,train
3,case_36,36,group_027,validation
3,case_37,37,group_028,final_test
3,case_38,38,group_029,final_test
3,case_39,39,group_030,validation
3,case_40,40,group_031,train
3,case_41,41,group_032,final_test
3,case_42,42,group_033,train
3,case_43,43,group_033,train
3,case_44,44,group_034,train
3,case_45,45,group_035,train
3,case_46,46,group_004,final_test
3,case_47,47,group_036,internal_test
3,case_48,48,group_037,internal_test
3,case_49,49,group_006,train
3,case_50,50,group_038,final_test
3,case_51,51,group_039,train
3,case_52,52,group_040,internal_test
3,case_53,53,group_032,final_test
3,case_54,54,group_041,train
3,case_55,55,group_042,final_test
3,case_56,56,group_043,train
3,case_57,57,group_044,train
3,case_58,58,group_045,train
3,case_59,59,group_046,train
3,case_60,60,group_013,train
3,case_61,61,group_047,train
3,case_62,62,group_048,train
3,case_63,63,group_049,validation
3,case_64,64,group_050,train
3,case_65,65,group_051,final_test
3,case_66,66,group_052,train
3,case_67,67,group_040,internal_test
3,case_68,68,group_053,internal_test
3,case_69,69,group_054,train
3,case_70,70,group_055,final_test
3,case_71,71,group_056,train
3,case_72,72,group_057,train
3,case_73,73,group_058,train
3,case_74,74,group_059,validation
3,case_75,75,group_060,train
3,case_76,76,group_061,final_test
3,case_77,77,group_062,train
3,case_78,78,group_063,validation
3,case_79,79,group_064,train
3,case_80,80,group_065,final_test
3,case_81,81,group_066,train
3,case_82,82,group_020,train
3,case_83,83,group_067,train
3,case_84,84,group_008,train
3,case_85,85,group_068,train
3,case_86,86,group_069,train
3,case_87,87,group_070,train
3,case_88,88,group_042,final_test
3,case_89,89,group_071,train
3,case_90,90,group_072,final_test
3,case_91,91,group_007,train
3,case_92,92,group_073,train
3,case_93,93,group_074,train
3,case_94,94,group_075,train
3,case_95,95,group_076,internal_test
3,case_96,96,group_077,train
3,case_97,97,group_068,train
3,case_98,98,group_078,train
3,case_99,99,group_079,train
3,case_100,100,group_008,train
3,case_101,101,group_067,train
3,case_102,102,group_080,train
3,case_103,103,group_081,final_test
3,case_104,104,group_082,train
3,case_105,105,group_083,train
3,case_106,106,group_084,train
3,case_107,107,group_047,train
3,case_108,108,group_085,final_test
3,case_109,109,group_034,train
3,case_110,110,group_086,train
3,case_111,111,group_087,train
3,case_112,112,group_088,final_test
3,case_113,113,group_089,final_test
3,case_114,114,group_090,train
3,case_115,115,group_006,train
3,case_116,116,group_011,internal_test
3,case_117,117,group_091,validation
3,case_118,118,group_092,train
3,case_119,119,group_093,train
3,case_120,120,group_067,train
3,case_121,121,group_093,train
3,case_122,122,group_094,train
3,case_123,123,group_095,final_test
3,case_124,124,group_096,validation
3,case_125,125,group_097,train
3,case_126,126,group_098,final_test
3,case_127,127,group_093,train
3,case_128,128,group_094,train
3,case_129,129,group_099,train
3,case_130,130,group_097,train
3,case_131,131,group_095,final_test
3,case_132,132,group_100,final_test
3,case_133,133,group_101,internal_test
3,case_134,134,group_102,final_test
3,case_135,135,group_103,final_test
3,case_136,136,group_104,train
3,case_137,137,group_094,train
3,case_138,138,group_105,final_test
3,case_139,139,group_106,internal_test
3,case_140,140,group_107,final_test
3,case_141,141,group_108,train
3,case_142,142,group_109,train
3,case_143,143,group_110,train
3,case_144,144,group_111,train
3,case_145,145,group_112,train
3,case_146,146,group_093,train
3,case_147,147,group_113,train
3,case_148,148,group_114,validation
3,case_149,149,group_115,final_test
3,case_150,150,group_116,validation
3,case_151,151,group_117,train
3,case_152,152,group_118,final_test
3,case_153,153,group_119,train
3,case_154,154,group_120,train
3,case_155,155,group_121,train
3,case_156,156,group_096,validation
3,case_157,157,group_122,internal_test
3,case_158,158,group_123,train
3,case_159,159,group_124,train
3,case_160,160,group_125,final_test
3,case_161,161,group_126,final_test
3,case_162,162,group_127,final_test
3,case_163,163,group_128,train
3,case_164,164,group_129,train
3,case_165,165,group_130,validation
3,case_166,166,group_131,train
3,case_167,167,group_132,final_test
3,case_168,168,group_133,final_test
3,case_169,169,group_119,train
3,case_170,170,group_134,train
3,case_171,171,group_135,train
3,case_172,172,group_136,final_test
3,case_173,173,group_137,train
3,case_174,174,group_138,final_test
3,case_175,175,group_093,train
3,case_176,176,group_139,train
3,case_177,177,group_140,final_test
3,case_178,178,group_141,final_test
3,case_179,179,group_142,train
3,case_180,180,group_143,train
3,case_181,181,group_144,validation
3,case_182,182,group_145,internal_test
3,case_183,183,group_146,train
3,case_184,184,group_147,train
3,case_185,185,group_148,train
3,case_186,186,group_149,train
3,case_187,187,group_147,train
3,case_188,188,group_093,train
3,case_189,189,group_101,internal_test
3,case_190,190,group_096,validation
3,case_191,191,group_106,internal_test
3,case_192,192,group_106,internal_test
3,case_193,193,group_150,train
3,case_194,194,group_151,train
3,case_195,195,group_152,train
3,case_196,196,group_113,train
3,case_197,197,group_153,train
3,case_198,198,group_107,final_test
3,case_199,199,group_154,train
3,case_200,200,group_155,train
4,case_00,0,group_000,final_test
4,case_01,1,group_001,train
4,case_02,2,group_002,final_test
4,case_03,3,group_003,final_test
4,case_04,4,group_004,final_test
4,case_05,5,group_004,final_test
4,case_06,6,group_005,train
4,case_07,7,group_003,final_test
4,case_08,8,group_003,final_test
4,case_09,9,group_003,final_test
4,case_10,10,group_006,train
4,case_11,11,group_007,validation
4,case_12,12,group_008,train
4,case_13,13,group_009,train
4,case_14,14,group_009,train
4,case_15,15,group_010,train
4,case_16,16,group_011,train
4,case_17,17,group_012,validation
4,case_18,18,group_013,train
4,case_19,19,group_006,train
4,case_20,20,group_008,train
4,case_21,21,group_014,train
4,case_22,22,group_015,final_test
4,case_23,23,group_016,final_test
4,case_24,24,group_017,train
4,case_26,26,group_018,final_test
4,case_27,27,group_019,train
4,case_28,28,group_020,train
4,case_29,29,group_021,train
4,case_31,31,group_022,final_test
4,case_32,32,group_023,train
4,case_33,33,group_024,final_test
4,case_34,34,group_025,train
4,case_35,35,group_026,train
4,case_36,36,group_027,train
4,case_37,37,group_028,final_test
4,case_38,38,group_029,final_test
4,case_39,39,group_030,train
4,case_40,40,group_031,train
4,case_41,41,group_032,final_test
4,case_42,42,group_033,train
4,case_43,43,group_033,train
4,case_44,44,group_034,validation
4,case_45,45,group_035,train
4,case_46,46,group_004,final_test
4,case_47,47,group_036,train
4,case_48,48,group_037,train
4,case_49,49,group_006,train
4,case_50,50,group_038,final_test
4,case_51,51,group_039,train
4,case_52,52,group_040,train
4,case_53,53,group_032,final_test
4,case_54,54,group_041,train
4,case_55,55,group_042,final_test
4,case_56,56,group_043,train
4,case_57,57,group_044,train
4,case_58,58,group_045,train
4,case_59,59,group_046,train
4,case_60,60,group_013,train
4,case_61,61,group_047,validation
4,case_62,62,group_048,train
4,case_63,63,group_049,train
4,case_64,64,group_050,train
4,case_65,65,group_051,final_test
4,case_66,66,group_052,train
4,case_67,67,group_040,train
4,case_68,68,group_053,train
4,case_69,69,group_054,validation
4,case_70,70,group_055,final_test
4,case_71,71,group_056,train
4,case_72,72,group_057,train
4,case_73,73,group_058,train
4,case_74,74,group_059,train
4,case_75,75,group_060,train
4,case_76,76,group_061,final_test
4,case_77,77,group_062,train
4,case_78,78,group_063,validation
4,case_79,79,group_064,internal_test
4,case_80,80,group_065,final_test
4,case_81,81,group_066,train
4,case_82,82,group_020,train
4,case_83,83,group_067,train
4,case_84,84,group_008,train
4,case_85,85,group_068,train
4,case_86,86,group_069,train
4,case_87,87,group_070,train
4,case_88,88,group_042,final_test
4,case_89,89,group_071,internal_test
4,case_90,90,group_072,final_test
4,case_91,91,group_007,validation
4,case_92,92,group_073,train
4,case_93,93,group_074,train
4,case_94,94,group_075,train
4,case_95,95,group_076,train
4,case_96,96,group_077,train
4,case_97,97,group_068,train
4,case_98,98,group_078,train
4,case_99,99,group_079,internal_test
4,case_100,100,group_008,train
4,case_101,101,group_067,train
4,case_102,102,group_080,train
4,case_103,103,group_081,final_test
4,case_104,104,group_082,train
4,case_105,105,group_083,train
4,case_106,106,group_084,train
4,case_107,107,group_047,validation
4,case_108,108,group_085,final_test
4,case_109,109,group_034,validation
4,case_110,110,group_086,train
4,case_111,111,group_087,train
4,case_112,112,group_088,final_test
4,case_113,113,group_089,final_test
4,case_114,114,group_090,train
4,case_115,115,group_006,train
4,case_116,116,group_011,train
4,case_117,117,group_091,train
4,case_118,118,group_092,internal_test
4,case_119,119,group_093,train
4,case_120,120,group_067,train
4,case_121,121,group_093,train
4,case_122,122,group_094,train
4,case_123,123,group_095,final_test
4,case_124,124,group_096,internal_test
4,case_125,125,group_097,train
4,case_126,126,group_098,final_test
4,case_127,127,group_093,train
4,case_128,128,group_094,train
4,case_129,129,group_099,train
4,case_130,130,group_097,train
4,case_131,131,group_095,final_test
4,case_132,132,group_100,final_test
4,case_133,133,group_101,internal_test
4,case_134,134,group_102,final_test
4,case_135,135,group_103,final_test
4,case_136,136,group_104,train
4,case_137,137,group_094,train
4,case_138,138,group_105,final_test
4,case_139,139,group_106,validation
4,case_140,140,group_107,final_test
4,case_141,141,group_108,train
4,case_142,142,group_109,train
4,case_143,143,group_110,train
4,case_144,144,group_111,train
4,case_145,145,group_112,train
4,case_146,146,group_093,train
4,case_147,147,group_113,train
4,case_148,148,group_114,train
4,case_149,149,group_115,final_test
4,case_150,150,group_116,train
4,case_151,151,group_117,train
4,case_152,152,group_118,final_test
4,case_153,153,group_119,train
4,case_154,154,group_120,internal_test
4,case_155,155,group_121,train
4,case_156,156,group_096,internal_test
4,case_157,157,group_122,train
4,case_158,158,group_123,train
4,case_159,159,group_124,train
4,case_160,160,group_125,final_test
4,case_161,161,group_126,final_test
4,case_162,162,group_127,final_test
4,case_163,163,group_128,internal_test
4,case_164,164,group_129,train
4,case_165,165,group_130,train
4,case_166,166,group_131,validation
4,case_167,167,group_132,final_test
4,case_168,168,group_133,final_test
4,case_169,169,group_119,train
4,case_170,170,group_134,train
4,case_171,171,group_135,train
4,case_172,172,group_136,final_test
4,case_173,173,group_137,train
4,case_174,174,group_138,final_test
4,case_175,175,group_093,train
4,case_176,176,group_139,train
4,case_177,177,group_140,final_test
4,case_178,178,group_141,final_test
4,case_179,179,group_142,train
4,case_180,180,group_143,internal_test
4,case_181,181,group_144,train
4,case_182,182,group_145,train
4,case_183,183,group_146,validation
4,case_184,184,group_147,train
4,case_185,185,group_148,internal_test
4,case_186,186,group_149,internal_test
4,case_187,187,group_147,train
4,case_188,188,group_093,train
4,case_189,189,group_101,internal_test
4,case_190,190,group_096,internal_test
4,case_191,191,group_106,validation
4,case_192,192,group_106,validation
4,case_193,193,group_150,train
4,case_194,194,group_151,train
4,case_195,195,group_152,train
4,case_196,196,group_113,train
4,case_197,197,group_153,train
4,case_198,198,group_107,final_test
4,case_199,199,group_154,validation
4,case_200,200,group_155,internal_test
